Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1-IMDB,Chrome 122.0.0.0,,,06-03-2024 00:47:27,06-03-2024 00:49:38,2m - 10.935s,FAILED
,,,,,,,
Test Cases/IMDB Website automation/TC1_AccessIMDB,Chrome 122.0.0.0,,,06-03-2024 00:47:28,06-03-2024 00:48:36,1m - 8.733s,FAILED
"openBrowser("""")",Chrome 122.0.0.0,,,06-03-2024 00:47:28,06-03-2024 00:47:32,3.558s,PASSED
"navigateToUrl(""https://www.imdb.com/"")",Chrome 122.0.0.0,,,06-03-2024 00:47:32,06-03-2024 00:48:32,1m - 0.386s,PASSED
maximizeWindow(),Chrome 122.0.0.0,,,06-03-2024 00:48:32,06-03-2024 00:48:32,0.440s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/IMDB/Home page/a_Espaol (Mxico)_home_img_holder""), 2)",Chrome 122.0.0.0,,,06-03-2024 00:48:32,06-03-2024 00:48:36,3.814s,FAILED
,,,,,,,
Test Cases/IMDB Website automation/TC2_Search for a movie name,Chrome 122.0.0.0,,,06-03-2024 00:48:36,06-03-2024 00:49:01,24.617s,PASSED
"callTestCase(findTestCase(""IMDB Website automation/TC1_AccessIMDB""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,06-03-2024 00:48:37,06-03-2024 00:48:53,15.984s,PASSED
"setText(findTestObject(""IMDB/Home page/input_Advanced Search_q""), ""Otto"")",Chrome 122.0.0.0,,,06-03-2024 00:48:53,06-03-2024 00:48:54,1.042s,PASSED
"click(findTestObject(""Object Repository/IMDB/Home page/svg_Advanced Search_ipc-icon ipc-icon--magnify""))",Chrome 122.0.0.0,,,06-03-2024 00:48:54,06-03-2024 00:49:00,5.879s,PASSED
waitForPageLoad(5),Chrome 122.0.0.0,,,06-03-2024 00:49:00,06-03-2024 00:49:00,0.274s,PASSED
"verifyTextPresent(""A Man Called Otto"", false)",Chrome 122.0.0.0,,,06-03-2024 00:49:00,06-03-2024 00:49:01,0.543s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,06-03-2024 00:49:01,06-03-2024 00:49:01,0.241s,PASSED
,,,,,,,
Test Cases/IMDB Website automation/TC3_Access Menu,Chrome 122.0.0.0,,,06-03-2024 00:49:01,06-03-2024 00:49:38,37.117s,PASSED
"callTestCase(findTestCase(""IMDB Website automation/TC1_AccessIMDB""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,06-03-2024 00:49:01,06-03-2024 00:49:35,33.659s,PASSED
"click(findTestObject(""Object Repository/IMDB/Page_IMDb Ratings, Reviews, and Where to Wa_0644cb/Menu Hamburger""))",Chrome 122.0.0.0,,,06-03-2024 00:49:35,06-03-2024 00:49:35,0.452s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/IMDB/Page_IMDb Ratings, Reviews, and Where to Wa_0644cb/span_MoviesRelease""))",Chrome 122.0.0.0,,,06-03-2024 00:49:35,06-03-2024 00:49:36,1.164s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/IMDB/Page_IMDb Ratings, Reviews, and Where to Wa_0644cb/Movies div""), 1)",Chrome 122.0.0.0,,,06-03-2024 00:49:36,06-03-2024 00:49:38,1.727s,PASSED
